MBFC Source Link,MBFC link,Source,Bias,Reporting,MBFS Source Link Base
http://www.dailymail.co.uk/ushome/index.html,https://mediabiasfactcheck.com/daily-mail/,Daily Mail,Right,Mixed,dailymail.co.uk
http://www.foxnews.com/,https://mediabiasfactcheck.com/fox-news/,Fox News,Right,Mixed,foxnews.com
http://www.breitbart.com/,https://mediabiasfactcheck.com/breitbart/,Breitbart,Right,Mixed,breitbart.com
http://www.infowars.com/,https://mediabiasfactcheck.com/infowars-alex-jones/,Infowars,Conspiracy,Low,infowars.com
http://www.newsmax.com/,https://mediabiasfactcheck.com/newsmax/,Newsmax,Right,Mixed,newsmax.com
http://www.alternet.org/,https://mediabiasfactcheck.com/alternet/,AlterNet,Left,Mixed,alternet.org
https://www.buzzfeed.com/news,https://mediabiasfactcheck.com/buzzfeed/,Buzzfeed,Left-Center,Mixed,buzzfeed.com
http://www.theblaze.com/,https://mediabiasfactcheck.com/the-blaze/,The Blaze,Right,Mixed,theblaze.com
http://www.naturalnews.com/,https://mediabiasfactcheck.com/natural-news/,Natural News,Conspiracy,Mixed,naturalnews.com
http://www.dailykos.com/,https://mediabiasfactcheck.com/daily-kos/,Daily Kos,Left,Mixed,dailykos.com
https://www.yahoo.com/news/?ref=gs,https://mediabiasfactcheck.com/yahoo-news/,Yahoo News,Left-Center,Mixed,yahoo.com
http://www.cnn.com/,https://mediabiasfactcheck.com/cnn/,CNN,Left,Mixed,cnn.com
http://www.dailystar.co.uk/,https://mediabiasfactcheck.com/daily-star-uk/,Daily Star UK,Conspiracy,Mixed,dailystar.co.uk
http://www.msnbc.com/,https://mediabiasfactcheck.com/msnbc/,MSNBC,Left,Mixed,msnbc.com
http://www.redstate.com/,https://mediabiasfactcheck.com/red-state/,Red State,Right,Mixed,redstate.com
http://www.redstate.com/,,Alex Jones,Conspiracy,Low,redstate.com
http://www.wnd.com/,https://mediabiasfactcheck.com/world-net-daily-wnd/,World Net Daily (WND),Right,Mixed,wnd.com
http://www.newsbusters.org/,https://mediabiasfactcheck.com/newsbusters/,Newsbusters,Right,Mixed,newsbusters.org
https://www.rt.com/news/,https://mediabiasfactcheck.com/rt-news/,RT News,Right-Center,Mixed,rt.com
https://www.rt.com/news/,https://mediabiasfactcheck.com/rt-news/,RT America,Right-Center,Mixed,rt.com
http://www.truth-out.org/,https://mediabiasfactcheck.com/truth-out/,Truth Out,Left,Mixed,truth-out.org
http://www.mirror.co.uk/,https://mediabiasfactcheck.com/daily-mirror/,Daily Mirror,Left,Mixed,mirror.co.uk
http://www.rawstory.com/,https://mediabiasfactcheck.com/raw-story/,Raw Story,Left,Mixed,rawstory.com
http://www.ewg.org/,https://mediabiasfactcheck.com/environmental-working-group-ewg/,Environmental Working Group (EWG),Conspiracy,Mixed,ewg.org
http://www.telesurtv.net/english/,https://mediabiasfactcheck.com/telesur/,TeleSUR,Left,Mixed,telesurtv.net
http://www.thegatewaypundit.com/,https://mediabiasfactcheck.com/the-gateway-pundit/,The Gateway Pundit,Fake,Fake,thegatewaypundit.com
http://www.cnsnews.com/,https://mediabiasfactcheck.com/cns-news/,CNS News,Right,Mixed,cnsnews.com
https://www.autismspeaks.org/,https://mediabiasfactcheck.com/autism-speaks/,Autism Speaks,Conspiracy,Mixed,autismspeaks.org
https://www.thesun.co.uk/,https://mediabiasfactcheck.com/the-sun/,The Sun,Right,Mixed,thesun.co.uk
http://www.investors.com/,https://mediabiasfactcheck.com/investors-business-daily/,Investors Business Daily,Right-Center,Mixed,investors.com
http://www.dailytelegraph.com.au/,https://mediabiasfactcheck.com/the-daily-telegraph-australia/,The Daily Telegraph (Australia),Right,Mixed,dailytelegraph.com.au
http://www.nydailynews.com/,https://mediabiasfactcheck.com/new-york-daily-news/,New York Daily News,Left-Center,Mixed,nydailynews.com
https://www.vice.com/,https://mediabiasfactcheck.com/vice-news/,Vice News,Left-Center,Mixed,vice.com
http://www.catholic.org/,https://mediabiasfactcheck.com/catholic-online/,Catholic Online,Conspiracy,Mixed,catholic.org
http://www.activistpost.com/,https://mediabiasfactcheck.com/activist-post/,Activist Post,Conspiracy,Low,activistpost.com
http://www.inquisitr.com/news/,https://mediabiasfactcheck.com/inquisitr/,Inquisitr,Left-Center,Mixed,inquisitr.com
http://www.dailysabah.com/,https://mediabiasfactcheck.com/daily-sabah/,Daily Sabah,Right,Mixed,dailysabah.com
http://www.mrc.org/,https://mediabiasfactcheck.com/media-research-center-mrc/,Media Research Center (MRC),Right,Mixed,mrc.org
http://www.christianpost.com/,https://mediabiasfactcheck.com/christian-post/,Christian Post,Right,Mixed,christianpost.com
http://www.lifenews.com/,https://mediabiasfactcheck.com/life-news/,Life News,Right,Mixed,lifenews.com
